ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,TEN
97580.4
97583.0
97579.6
97583.8
97577.0
97577.2
97576.6
97578.2
97579.6
97578.6
97576.8
97576.6
97574.0
97597.0
97614.6
97610.6
97606.0
97613.4
97627.4
97615.4
97614.8
97608.2
97608.6
98726.8
98975.6
99129.2
99260.2
97627.2
97616.8
97614.2
97605.8
97608.8
97601.2
97603.8
97598.0
97598.8
97594.2
97596.0
97596.4
97598.0
97594.2
97592.0
97869.0
100052.0
100349.2
100470.8
100606.4
100683.0
100775.6
100514.2
97621.8
97619.0
97619.0
97619.8
97619.4
97611.2
97606.8
97621.2
97604.2
97605.6
97604.0
97601.6
97596.4
97600.0
97599.8
97597.8
97598.0
97595.0
97597.8
97595.2
97587.2
97589.8
97592.4
97596.4
97610.0
97619.2
97627.4
97623.4
97620.6
97623.4
97617.4
97617.0
97600.2
97603.6
97600.6
97598.8
97597.2
97600.4
97596.8
97597.4
97595.4
97596.8
97592.0
97592.4
97598.6
97592.4
97590.0
97592.2
97589.6
97593.0
97588.0
97590.6
97588.4
97589.8
97593.4
97589.0
97591.0
97588.8
97589.2
97590.2
97586.6
97590.2
97586.6
97588.0
97585.2
97585.2
97586.4
97586.8
97587.8
97590.8
97587.8
97590.2
97594.2
97603.0
97606.0
97606.4
97606.6
97607.2
97604.6
97606.2
97604.4
97602.6
97606.8
97604.2
97621.0
97638.8
97628.4
97627.6
97629.0
97610.0
97603.4
97603.0
97602.8
97596.6
97592.8
97594.2
97591.6
